ts,batch,event,file,rows_before,rows_after,detail
2026-04-05 13:15:59 UK,GEN,SEASON_2526_GENERATED,season_2025_26.json,0,14783,
2026-04-05 13:16:10 UK,GEN,SEASON_2425_GENERATED,season_2024_25.json,0,23144,
2026-04-05 13:16:10 UK,GEN,GENERATE_COMPLETE,,0,0,elapsed=1387s
2026-04-05 16:00:03 UK,B3,BATCH_START,,0,0,date=2026-04-05
2026-04-05 16:00:23 UK,B3,PROPS_FETCHED,,0,0,132 props
2026-04-05 16:00:26 UK,B3,PREDICTIONS,,0,0,"130 plays, skipped={'no_player': 2, 'no_history': 0, 'no_feats': 0}"
2026-04-05 16:00:56 UK,B3,BATCH_COMPLETE,,0,0,130 plays written
2026-04-05 18:30:03 UK,B4,BATCH_START,,0,0,date=2026-04-05
2026-04-05 18:30:23 UK,B4,PROPS_FETCHED,,0,0,132 props
2026-04-05 18:30:25 UK,B4,PREDICTIONS,,0,0,"130 plays, skipped={'no_player': 2, 'no_history': 0, 'no_feats': 0}"
2026-04-05 18:30:47 UK,B4,BATCH_COMPLETE,,0,0,130 plays written
2026-04-05 21:00:03 UK,B5,BATCH_START,,0,0,date=2026-04-05
2026-04-05 21:00:22 UK,B5,PROPS_FETCHED,,0,0,132 props
2026-04-05 21:00:24 UK,B5,PREDICTIONS,,0,0,"130 plays, skipped={'no_player': 2, 'no_history': 0, 'no_feats': 0}"
2026-04-05 21:00:45 UK,B5,BATCH_COMPLETE,,0,0,130 plays written
2026-04-06 07:59:32 UK,B0,BATCH_START,,0,0,grading_date=2026-04-05
2026-04-06 07:59:46 UK,B0,BOXSCORES_FETCHED,,0,0,"212 rows, 290 players"
2026-04-06 08:01:36 UK,B0,BATCH_SUMMARY,,0,0,graded=260 wins=110 losses=102 dnp=48
2026-04-06 08:02:00 UK,B0,FILE_STATE_BEFORE_APPEND,nba_gamelogs_2025_26.csv,25085,25085,
2026-04-06 08:32:24 UK,B1,BATCH_START,,0,0,date=2026-04-06
2026-04-06 08:37:23 UK,B1,PROPS_FETCHED,,0,0,60 props
2026-04-06 08:37:25 UK,B1,PREDICTIONS,,0,0,"60 plays, skipped={'no_player': 0, 'no_history': 0, 'no_feats': 0}"
2026-04-06 08:37:52 UK,B0,INTEGRITY_OK,nba_gamelogs_2025_26.csv,25085,25321,
2026-04-06 08:38:20 UK,B1,BATCH_COMPLETE,,0,0,60 plays written
2026-04-06 08:38:22 UK,B0,ROLLING_CROSSCHECK_FAIL,Jayson Tatum,0,0,"L30 drift 3.42pts (stored 24.8, fresh 21.4)"
2026-04-06 08:38:22 UK,B0,ROLLING_CROSSCHECK_FAIL,Max Strus,0,0,"L30 drift 2.35pts (stored 11.4, fresh 13.8)"
2026-04-06 08:38:23 UK,B0,ROLLING_CROSSCHECK_FAIL,Jayson Tatum,0,0,"L30 drift 3.42pts (stored 24.8, fresh 21.4)"
2026-04-06 08:38:23 UK,B0,ROLLING_CROSSCHECK_FAIL,Max Strus,0,0,"L30 drift 2.35pts (stored 11.4, fresh 13.8)"
2026-04-06 11:35:00 UK,B2,BATCH_START,,0,0,date=2026-04-06
2026-04-06 11:46:57 UK,B2,PROPS_FETCHED,,0,0,60 props
2026-04-06 11:46:58 UK,B2,PREDICTIONS,,0,0,"60 plays, skipped={'no_player': 0, 'no_history': 0, 'no_feats': 0}"
2026-04-06 12:40:16 UK,B2,BATCH_COMPLETE,,0,0,60 plays written
2026-04-06 13:12:06 UK,B0,BATCH_COMPLETE,,0,0,grade_date=2026-04-05
2026-04-06 16:00:09 UK,B3,BATCH_START,,0,0,date=2026-04-06
2026-04-06 16:00:53 UK,B3,PROPS_FETCHED,,0,0,60 props
2026-04-06 16:00:56 UK,B3,PREDICTIONS,,0,0,"60 plays, skipped={'no_player': 0, 'no_history': 0, 'no_feats': 0}"
2026-04-06 16:01:39 UK,B3,BATCH_COMPLETE,,0,0,60 plays written
2026-04-06 18:30:03 UK,B4,BATCH_START,,0,0,date=2026-04-06
2026-04-06 18:30:24 UK,B4,PROPS_FETCHED,,0,0,60 props
2026-04-06 18:30:25 UK,B4,PREDICTIONS,,0,0,"60 plays, skipped={'no_player': 0, 'no_history': 0, 'no_feats': 0}"
2026-04-06 18:30:50 UK,B4,BATCH_COMPLETE,,0,0,60 plays written
2026-04-06 21:00:04 UK,B5,BATCH_START,,0,0,date=2026-04-06
2026-04-06 21:00:25 UK,B5,PROPS_FETCHED,,0,0,60 props
2026-04-06 21:00:27 UK,B5,PREDICTIONS,,0,0,"60 plays, skipped={'no_player': 0, 'no_history': 0, 'no_feats': 0}"
2026-04-06 21:00:52 UK,B5,BATCH_COMPLETE,,0,0,60 plays written
2026-04-06 21:31:08 UK,B5,BATCH_START,,0,0,date=2026-04-06
2026-04-06 21:32:10 UK,B5,PROPS_FETCHED,,0,0,60 props
2026-04-06 21:32:13 UK,B5,PREDICTIONS,,0,0,"60 plays, skipped={'no_player': 0, 'no_history': 0, 'no_feats': 0}"
2026-04-06 21:32:52 UK,B5,BATCH_COMPLETE,,0,0,60 plays written
2026-04-07 07:37:05 UK,B0,BATCH_START,,0,0,grading_date=2026-04-06
2026-04-07 07:37:18 UK,B0,BOXSCORES_FETCHED,,0,0,"102 rows, 140 players"
2026-04-07 07:37:53 UK,B0,BATCH_SUMMARY,,0,0,graded=120 wins=56 losses=52 dnp=12
2026-04-07 07:37:59 UK,B0,FILE_STATE_BEFORE_APPEND,nba_gamelogs_2025_26.csv,25321,25321,
2026-04-07 07:39:37 UK,B0,INTEGRITY_OK,nba_gamelogs_2025_26.csv,25321,25429,
2026-04-07 07:57:41 UK,B0,BATCH_START,,0,0,grading_date=2026-04-06
2026-04-07 07:57:49 UK,B0,BOXSCORES_FETCHED,,0,0,"102 rows, 140 players"
2026-04-07 07:57:51 UK,B0,BATCH_SUMMARY,,0,0,graded=0 wins=0 losses=0 dnp=0
2026-04-07 08:16:27 UK,B0,BATCH_COMPLETE,,0,0,grade_date=2026-04-06
2026-04-07 08:26:59 UK,B0,BATCH_COMPLETE,,0,0,grade_date=2026-04-06
2026-04-07 08:30:03 UK,B1,BATCH_START,,0,0,date=2026-04-07
2026-04-07 08:30:45 UK,B1,PROPS_FETCHED,,0,0,116 props
2026-04-07 08:30:48 UK,B1,PREDICTIONS,,0,0,"114 plays, skipped={'no_player': 2, 'no_history': 0, 'no_feats': 0}"
